Player,Picks Taken Per Game,Picks Set Per Game,Minutes (Total),SSI Player ID
Kevin McCullar Jr.,21.071,2.857,381,1ebb0958-b242-4b10-a0cb-cc3182f35814
Matt Allocco,6.884,1.349,832,1542fce4-02f8-434c-8e0b-c655313fea33
Tamar Bates,7.154,3.385,347,4e132a3e-20b7-4058-9b69-c71ed0bfd654
Kyle Rose,3.679,2.893,574,c7fe17cb-17b0-4fe5-bfde-60cdce624f03
Aminu Mohammed,0.784,3.919,527,6abaacf2-5a3c-4c72-b19c-2a645dd84022
Jaden Akins,24.612,1.143,1297,e6acbf72-2032-4b3f-9672-62f8052c1873
Javon Small,21.667,0.333,58,6b98a36d-b1bc-4b68-bd5b-0671580d44c4
Devin Carter,14.000,3.400,142,8a8e683b-3939-4208-b55c-bc9cefe13a54
Jordan Hall,17.630,1.815,614,4b98be48-a61f-4372-8f5d-25f914555a83
Cam Carter,7.824,0.529,464,a183c842-9603-4691-9abd-612235152ad2
Nikola Topic,26.615,0.692,316,deb86c8a-aaa2-472e-a66d-a1cbace2c797
Ray Harrison,1.800,0.500,102,57be9a58-9fec-4727-b978-d75c7e33e914
Chaz Lanier,7.227,2.545,640,3ff2c55c-8857-4cde-85eb-a42b87da7dcd
Dariq Whitehead,5.765,3.206,685,9f8b2ee3-8cc5-4a92-aeb9-c8c52d6e37a2
Marquis Barnett,1.400,0.600,64,7edec21a-68b6-453a-b51f-2e3827a52d7d
Mark Armstrong,14.708,0.563,848,3bc6f704-0fda-4f85-a681-a41d1178948b
Terrell Brown Jr.,17.423,1.462,1149,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
T.J. Weeks,4.000,3.500,53,7d91ff01-e290-4fe8-955f-093a15c1d3b5
Tyson Etienne,6.483,4.552,771,316deed2-3f6a-4c1c-9508-2dd0c937cd4c
Dane Goodwin,4.160,4.020,1344,83cf7787-d441-4c3a-b5de-a2b2a623350b
Johnny Davis,4.704,0.889,643,bd507dbb-cb87-4e45-ad2e-1990df07ac20
Nolan Hickman,9.071,3.143,975,b8b01afe-00df-407e-b0ee-229eacce163c
Symir Torrence,5.619,2.143,415,6779419d-662d-4a38-b2ea-cb8e012eed8f
Mac McClung,31.795,0.949,1222,d9671fc0-754d-4cd1-b61d-2f6526c31497
Marcus Burk,1.405,4.024,863,017ced69-5d96-4160-b064-3a051a5c9efe
Nojel Eastern,1.257,3.571,462,b2251f82-7770-4e0b-994d-c33ff4a1b39d
Cameron Parker,16.395,0.500,639,15e3cffa-aed2-4d74-a8e0-ec06dfea63c6
CJ Fulton,1.875,0.500,186,e2d1008a-5cc8-4a4d-9f54-0bacfbd083be
John Tonje,4.659,2.045,1172,5bfe6dcb-3da9-45f9-95c0-ed690168c7ba
Eric Ayala,1.067,0.467,123,0ed3aa02-c44c-4b25-a16c-d448d88b92ea
Keon Johnson,19.063,1.500,346,7cfacef2-8c7b-41e7-9df3-4a570a6de468
Mark Sears,27.838,1.054,1067,6af77143-6aac-4199-ac80-bfa704e2ca51
Trhae Mitchell,2.479,0.938,988,d98ecec8-9937-426e-ba9a-e019ec88d94f
Alex Schumacher,13.135,1.919,674,74b58589-0ca1-4a71-ac83-93c57a2e8b83
Reynan dos Santos,10.286,2.190,462,e3cdc093-14ad-4686-ade9-7fc70c5a5a88
Curtis Jones,25.317,4.098,1263,69489a71-b1eb-4fde-b687-6385e03c1e49
Adama Bal,5.964,1.393,441,3559f9a3-9132-409e-a701-a4c5757cb325
Jaelen House,26.219,0.406,693,e14de0fe-50fa-4322-a5a2-55cb2137e6f2
Alejandro Vasquez,1.333,0.667,26,146e6f60-9f61-4669-902f-1f985d239c46
Kennedy Chandler,37.167,1.214,1245,90cef14e-ebcc-4a00-94e1-b06d8ca04701
Daishen Nix,29.000,1.608,1658,06212573-e2e8-4bfa-98cd-4484063dead1
Adam Flagler,17.833,2.278,499,60b1ff6f-7e65-4d93-8b0b-fe76747cb0db
Ahmad Caver,27.806,0.944,914,b37bbd3b-102d-42c2-9bfe-7874d64e9068
D'Andre Davis,1.000,2.543,494,93c1ccb9-a43d-42a7-a037-b8d2057acc02
Stephen Mitchell,5.840,1.200,445,1d1c157c-d6cd-492c-8ac1-aca3b6d6c04f
Isaiah Stevens,27.879,2.667,960,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
Zhaire Smith,10.085,9.213,1405,bf29165e-4d8e-4760-a070-5502dd6c2176
James Bouknight,13.469,1.980,1336,a4bca3d5-c8c6-408f-a4bf-22453062b4b9
A.J. Lawson,4.083,3.028,999,ed39e2d6-ce65-43e5-9ea9-d579d0526a1f
Antoine Davis,4.818,1.136,224,cc05d44b-5260-48a3-b9b6-61ce282a67c0
Jazian Gortman,32.286,1.000,155,dd6ea48a-5adc-4411-bead-f2cf2861a9ce
Geronimo Rubio De La Rosa,1.583,0.250,99,5bc79052-06fe-4165-bc0d-7121fc331302
Jamiya Neal,2.200,0.200,28,bd101cdc-8e04-424a-8c61-034c93ff6be7
AJ Johnson,20.462,1.538,337,2b0ac9c2-0fa5-4ee6-9881-03b737e11dc3
Michael O'Connell,14.083,2.500,294,e4133038-cf2f-4227-a6d5-566eb968a245
Jaxson Robinson,1.477,1.432,739,e7e970a3-7025-4ccc-b0f7-271f94238ee5
Rahsool Diggins,5.947,0.737,186,6404e275-f55f-42e5-8d36-cddd1661c335
