Shooter,Shots Attempted,qSI,SSI Player ID
Kobe Bufkin,74,20.78,9e453254-b85d-43ba-a615-8bf683d94834
Coleman Hawkins,73,-8.13,769be316-e69b-4438-a859-7fbbad08accf
Isaiah Stevens,73,-3.64,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
Quincy Olivari,72,7.79,cbbbce73-763b-4e1d-820b-1b8f62857eaa
LJ Cryer,72,17.98,51c89cc1-c192-4e07-878a-436ad5c2c70a
Liam McNeeley,72,-3.22,ba22d012-f7ce-4a1a-873e-d6c3ccf7ae5a
TyTy Washington Jr.,70,6.71,0b1c2f8c-380e-4f07-85b0-3b5ff4650d00
Hank Morgan,69,13.81,29d938d7-ce0a-4aba-9b2e-b17b2e8d8ee5
D'Andre Davis,69,-29.08,93c1ccb9-a43d-42a7-a037-b8d2057acc02
Johnell Davis,69,-3.22,7ddd09bd-a98c-468f-ac39-239c33fe8d79
Cameron Hildreth,67,1.92,2c4cbc5a-83fe-4562-afdd-859499b77aa5
Chaney Johnson,67,-1.10,4007e9ee-5f46-4b39-9d77-0001aa54f1f4
Caleb McConnell,66,-14.06,9ea29be6-8741-4b28-9a3f-b73d1919c900
DeAndre Williams,66,-0.67,d240c74d-0376-4b1e-998d-190b778ced1b
Cameron Brown,65,-13.19,c2df5312-12de-4f83-9d1a-3f3c2ab6148f
Keyontae Johnson,65,2.33,d5348336-15a5-416f-8312-bd7030a6277b
Luke Travers,64,-7.50,ef24e628-6674-47d2-8fea-a8ceb61e0fb6
Dakota Mathias,64,14.19,9f1f34c6-66d2-4093-9328-d2fffffb97d5
Mark Armstrong,64,9.48,3bc6f704-0fda-4f85-a681-a41d1178948b
Asa Newell,64,9.94,eb38ea24-c68c-4f72-9a55-2e397b4f0124
Kyle Rose,63,6.92,c7fe17cb-17b0-4fe5-bfde-60cdce624f03
Jameer Nelson Jr.,62,-0.25,55218f5a-96d0-455d-953e-1af096389bc1
Micah Potter,61,2.54,1e89c60d-b20e-4499-aba4-b13dba295a52
Bez Mbeng,61,-15.33,117522bd-3f51-4ef9-99ae-8cf060df132b
Basheer Jihad,60,-16.61,bd9b1fa0-957f-4365-8af3-a545d525965b
Max Klesmit,60,10.46,ce1fc58a-6a2f-40f5-a83b-c0acdcdf2e01
Kevin McCullar Jr.,60,-7.58,1ebb0958-b242-4b10-a0cb-cc3182f35814
Matt Allocco,60,1.20,1542fce4-02f8-434c-8e0b-c655313fea33
Ben Saraf,60,-4.37,f92bdf23-732f-412f-9b84-9c088cd9474b
Alex Schumacher,59,-16.26,74b58589-0ca1-4a71-ac83-93c57a2e8b83
Emoni Bates,59,4.81,9f1d3f5e-1bf4-4a41-81f4-516081353643
Franco Miller, Jr.,58,-7.51,d681a7cd-c0ad-4497-975c-f750b762a74e
Josh Oduro,57,-10.23,8356850f-e674-4868-8a3b-7cf5b6193dce
Nojel Eastern,57,-5.09,b2251f82-7770-4e0b-994d-c33ff4a1b39d
Drew Timme,56,-16.74,30998b89-18c0-4086-ae61-1830056bb1b7
Marcus Garrett,56,-9.11,723b0c0c-ac5b-4b0c-b84c-01da7be6c705
Dwight Murray, Jr.,56,-9.82,7880b823-77c5-4925-a287-1af2424a923b
Jordan Hall,56,4.25,4b98be48-a61f-4372-8f5d-25f914555a83
Dennis Smith Jr.,56,-13.43,4a0f330a-e571-48c4-a685-f82c9436c964
Kadary Richmond,56,-2.72,5f0c2302-aaca-4ac1-b70f-f25abbe14186
Elijah Harkless,55,1.75,629588b6-9560-45b9-ae52-ff90c299fc4d
Cam Carter,55,4.40,a183c842-9603-4691-9abd-612235152ad2
Nolan Traore,55,11.54,4b2dd1ee-169e-4af4-9877-1e600ccc1ac5
KJ Jones II,55,-7.61,b34e01c3-fde9-402e-a381-1abc45ea21fb
Sean East II,55,-0.35,673bd14c-085f-4173-9211-d62ae307b0e3
Tidjane Salaun,54,-4.52,abc5b21b-f2eb-40cb-a9e6-6eb5abeafe60
Stephen Mitchell,53,-0.91,1d1c157c-d6cd-492c-8ac1-aca3b6d6c04f
Rasheer Fleming,53,4.01,4639f41a-c88b-4cf0-91c2-c36d9d4c1e5c
Justin Jackson,53,-11.05,0867f70d-4848-4664-82fb-db397233e78f
Jaylen Martin,52,-13.83,70021baf-68ca-4b04-a865-fe10b1450b62
Brandon Slater,52,0.37,eb81af0f-e8c9-4a55-a018-bb56cbc130ff
John Knight III,51,4.67,534e334e-2adb-4b8c-9614-8552f0dc5f6d
Pete Nance,51,20.50,a9d51846-7123-4773-be70-de509c877a08
Bryce Thompson,51,4.41,cc61028a-3c21-4917-a6fe-607bb4085636
Ben Coupet Jr.,51,-9.10,8c1d8070-eb6a-44ee-bc37-0a07ad5267fb
M.J. Iraldi,50,-23.75,bc70e8c9-c8ff-44fc-b539-10f863d5efec
Norchad Omier,49,-4.47,15c34e0c-e636-4bd1-a7db-6435d201f8c6
Steven Ashworth,49,11.52,63e0883f-eae7-4a6c-ad8f-c7670247241e
