Shooter,Shots Attempted,qSI,qSI (sum),SSI Player ID
Zach Freemantle,239,-8.10,-1935.36,aaa72835-bf87-4903-8432-953c82e91876
Nate Williams,239,-3.61,-863.13,3ab12c09-2aae-4bc0-a45e-0132e6751116
Javonte Cooke,237,1.20,285.11,0c8af3e4-85bf-4c62-921b-d5cc21594198
Kobe Bufkin,236,8.26,1949.34,9e453254-b85d-43ba-a615-8bf683d94834
Zeke Mayo,235,1.84,432.41,2aa9c687-ca9d-4478-a2c7-8f2797b308b2
Jaylin Williams,233,3.01,702.33,db384374-d594-45b6-a3de-9aa8a66dc226
Marques Bolden,233,5.76,1342.49,95b6d616-e911-4060-869d-7f633e7ec049
Wendell Moore Jr.,231,5.28,1218.92,96f746dd-7dfb-4ea4-a98c-39ed5d2a0fd5
Dwight Murray, Jr.,231,-3.90,-901.71,7880b823-77c5-4925-a287-1af2424a923b
Ahmad Caver,230,1.51,347.16,b37bbd3b-102d-42c2-9bfe-7874d64e9068
Patrick Baldwin Jr.,229,-1.35,-309.16,45b328c0-b3b8-4a36-a0c1-28e39227ca85
Nick Smith Jr.,229,10.85,2484.70,b2d1fbf7-72be-4469-b0c2-db6677a145bd
Ron Harper Jr.,228,6.58,1501.09,0fc9db0f-ca5e-49e9-a003-973fa4fd8839
Nolan Hickman,227,3.01,683.83,b8b01afe-00df-407e-b0ee-229eacce163c
DeAndre Williams,227,5.99,1360.19,d240c74d-0376-4b1e-998d-190b778ced1b
Nate Santos,226,0.63,141.54,5d98e4d9-9d4c-416e-896e-662ef6de036b
Chase Hunter,225,-4.31,-969.58,50fd1b80-b17c-4168-9cd8-b67adeef9040
Lucas Williamson,225,-3.68,-828.49,f0ae386a-6794-4f37-b447-84822aa60c4b
Kira Lewis Jr.,224,-4.58,-1025.14,ce287780-67de-44fa-86c2-d87dec5a1e28
Jayson Kent,220,6.01,1322.49,dc854637-bbf4-4710-94b5-8c953db3ce27
Jacksen Moni,220,-1.40,-308.27,b16076ab-b7f1-4f61-b1ce-87471a1be027
Javan Johnson,220,1.47,324.08,5bf3dc6a-f0bf-4146-9233-0714a95538e5
Chris Mantis,219,11.83,2591.66,d2d320cb-de1d-4f2f-b238-9697f02b41ff
Kyle Guy,218,7.54,1644.73,9eed3d99-6049-4cd0-96bb-4fabb8ad8ddd
Tristan Enaruna,218,4.05,882.18,998f2322-7dab-4353-99d7-b23e57eeb3ed
Jalen Slawson,217,-0.71,-154.05,ee32b868-f2aa-47fd-bc12-e2df467173a0
John Ukomadu,216,4.95,1069.50,b4f22d30-f720-4880-9fc3-a7a1f5679086
Anton Watson,212,-3.89,-825.66,8cb4b74b-84e9-40e3-9a3a-a7dd7be9767b
Jaden Springer,212,-2.56,-542.77,8a1c8d1a-13c8-487e-b85e-6b10ecc1d39f
Kobe Johnson,209,1.79,374.39,9f123592-d747-4a41-b903-ad6bcb6ac751
LJ Figueroa,208,6.83,1419.65,629382e8-fcc6-4974-b0a3-99fd67940f2d
