Shooter,Shots Attempted,qSI (sum),SSI Player ID
Bez Mbeng,76,537.42,117522bd-3f51-4ef9-99ae-8cf060df132b
Justin Harmon,129,530.95,4c8abee4-0270-4d98-b4ab-cff9969857fc
Grant Nelson,80,529.49,c4012fed-7c3d-4171-a8c7-3432c061c9d7
Pete Nance,43,520.44,a9d51846-7123-4773-be70-de509c877a08
Trevor Keels,94,518.96,58189b84-2563-4034-984b-e61021022c4c
Jameer Nelson Jr.,106,514.24,55218f5a-96d0-455d-953e-1af096389bc1
Jules Bernard,186,508.91,7c2fd9b6-9749-4ca1-8d58-b773ff9223dd
Osayi Osifo,87,506.75,c1f25993-dd81-43fd-a710-d7b67b6bd974
Giorgi Bezhanishvili,179,502.33,4d0b25c0-eb2c-423a-875e-ba9f74999bdf
Tosan Evbuomwan,111,496.25,3836af33-7171-4f6b-b4e3-7dc129d8efa6
AJ Hoggard,64,496.21,91fbbfa3-eabc-4c5d-b0d0-b2fc674c84bb
Makhi Mitchell,59,492.08,fec781d1-53e1-4e5e-baf1-7937603be356
Trey Jemison III,67,487.18,48e06536-9d6f-4027-9d17-ec477a9ae3a2
Kyle Guy,57,485.12,9eed3d99-6049-4cd0-96bb-4fabb8ad8ddd
Mark Sears,115,481.08,6af77143-6aac-4199-ac80-bfa704e2ca51
Kendall Brown,145,481.08,84863ea4-7e22-4827-9c1e-091a16291b37
Max Abmas,59,473.94,23961594-cb8d-4560-b709-2ace5a6b16a4
Antonio Reeves,94,471.38,19004e0e-7982-4513-bdba-24e11e49d49d
Malachi Smith,108,470.46,cf11631f-67ad-4f08-9466-e66859baa68e
Trey McGowens,86,463.42,a17cb8d2-4fe7-49a1-b4b9-e56f6316d694
David Jones Garcia,61,457.44,8207e744-783c-4fac-8d78-52acb829f00c
Samson Johnson,163,454.71,68596e1c-c815-41b9-ae9b-a8179fee1f36
Ibrahima Diallo,61,453.64,505bb488-33f9-485b-9cce-e0533d462cf1
Tomas Chapero,122,452.44,5909ae5b-81cc-4f42-adb1-912f0c19edfc
Drew Peterson,67,442.87,b385f90c-bbc7-4346-8507-4d626e2c0c61
Gabe McGlothan,139,442.13,32f54c28-47c6-4d3c-8364-c3956aef7190
Kyle Mangas,147,437.07,509e10a3-69e7-41cc-a0b5-44de8eb4659f
Trey Alexander,106,433.17,eae5a4b1-2701-4843-b7ed-ac8677e6446b
Enrique Freeman,130,430.54,f838df3f-72c5-4cf1-a555-7182e3dccd13
Jaelen House,91,429.58,e14de0fe-50fa-4322-a5a2-55cb2137e6f2
Chance McMillian,52,420.20,d40fdb50-4ea9-488f-85e3-aa57164f9d0a
Ethan Thompson,56,407.64,e303b1cc-a268-4f85-8063-e447c757ede6
Taevion Kinsey,162,403.28,b17e9b18-8167-47ec-b96c-1a1c88208376
Sheldon Edwards,29,399.24,8d385c74-6c2b-4704-ad41-8e5519b11012
Adam Flagler,43,396.39,60b1ff6f-7e65-4d93-8b0b-fe76747cb0db
DeAndre Williams,200,389.17,d240c74d-0376-4b1e-998d-190b778ced1b
Cameron Brown,37,387.77,c2df5312-12de-4f83-9d1a-3f3c2ab6148f
Caleb Love,52,386.38,163d0a85-fc13-4c76-8e98-93aae28417d2
Kobe Stewart,97,383.32,9c8748fc-6d1c-4911-99a0-94e1cf486b48
Jamaree Bouyea,22,379.11,e35aa016-05af-4a0b-92b3-b0d987d11892
Elfrid Payton,51,377.17,ff4126dc-89ef-11e6-a96d-a45e60e298d3
Skal Labissiere,153,370.00,0943dbc8-178e-4cab-97d6-3f31747698ab
Dawson Garcia,26,366.17,4aa2ea37-df6a-43f3-9838-5bb4d2e13186
Justin Edwards,26,366.00,c2b8cc6a-c87c-4dc5-bfea-c4630c2b6f3e
Josh Christopher,141,360.47,207daaca-464a-4e71-8c77-cae31615c0e3
Javan Johnson,47,357.99,5bf3dc6a-f0bf-4146-9233-0714a95538e5
Jonathan Mogbo,125,357.75,12f2cb53-d3a1-4a42-b6ed-9238a8eab4f7
GG Jackson,39,357.06,de22ebf7-4f76-48b4-805b-b5f87858922f
Anthony Pritchard,146,356.32,58d7789a-e4bc-46cd-91d5-01526491d417
Anton Watson,147,354.71,8cb4b74b-84e9-40e3-9a3a-a7dd7be9767b
Terrell Brown Jr.,61,352.13,0784aa6d-2f58-4e8f-8fd0-d3cb2fd08ff8
Daeqwon Plowden,96,350.26,daca4b6a-526f-49e8-a02e-ba59acb77846
Brooks Barnhizer,99,347.43,6b9ff8ac-a24a-46b2-8a4a-4f4015c6b353
Ron Harper Jr.,59,346.08,0fc9db0f-ca5e-49e9-a003-973fa4fd8839
Will Riley,18,342.95,3fb6c927-c443-46a9-aecb-1105dfb05233
Bryson Warren,51,341.14,de89d563-ec4f-4356-8cba-afd95b5a975a
Pacome Dadiet,62,340.16,810fd8fe-5999-4962-9441-004f4a25fea2
Blake Hinson,126,334.63,64b12646-2555-4dd0-98eb-cb169b3ee58a
Isaiah Crawford,68,331.18,cc5a020f-5862-494b-a997-26288b4f4f12
John Ukomadu,124,329.98,b4f22d30-f720-4880-9fc3-a7a1f5679086
Luke Goode,33,323.41,4144db18-4210-42b8-af58-fd1dd83e87c6
Ariel Hukporti,30,323.15,91a10e2e-9784-440d-b0a4-83a8db044c1d
Basheer Jihad,195,322.56,bd9b1fa0-957f-4365-8af3-a545d525965b
Nikola Djurisic,47,321.58,0e381936-04ed-49fd-87b0-400686b3e145
Tamar Bates,25,318.75,4e132a3e-20b7-4058-9b69-c71ed0bfd654
Cody Martin,46,316.19,0000b397-3cf4-4dd4-a910-000000000131
Jaden Akins,167,309.82,e6acbf72-2032-4b3f-9672-62f8052c1873
Moussa Cisse,102,309.78,b4769ff6-6ae9-446a-a262-0b849da72338
Danny Wolf,34,307.42,0b1b2334-050a-4f4e-bae7-3865147c950f
Matt Allocco,25,306.11,1542fce4-02f8-434c-8e0b-c655313fea33
Killian Hayes,72,305.10,9a826fec-5df7-4a14-8637-3364dc9433c2
Malik Williams,165,304.60,91d9d39e-7ed1-4320-80fc-4d487e79b1fa
Akoldah Gak,100,302.13,e6e552fd-83e6-4bb7-b80a-9b0bae80ad1c
Tyrese Hunter,19,301.97,4f89702e-6e19-48ef-9be1-8da8a0837a2f
Tyler Polley,56,301.25,e48e99e8-0b78-493c-9d6f-15b65e7869c6
Alondes Williams,198,299.30,e555cb48-990b-4ef7-8464-59adc6adf34d
Chris Mantis,23,296.24,d2d320cb-de1d-4f2f-b238-9697f02b41ff
Riley Minix,115,295.56,d4332b50-b7fb-4429-9525-e10587f584d9
Zhuric Phelps,49,293.48,cbddda95-fa69-4ae6-b6b0-247f5c669b7f
Kevon Harris,34,285.28,8190d885-1fd0-4dad-99d7-2431cc018492
Brice Williams,64,277.05,bc4eee96-6dec-4e4c-ac60-d467785926cb
Jay Scrubb,17,273.55,8488ec31-e9a6-4535-a007-3b6fb6c5f1bd
Nikola Topic,49,273.37,deb86c8a-aaa2-472e-a66d-a1cbace2c797
Cam Reddish,11,269.52,5cef3c95-c7c7-4206-b70c-41f647f9498b
Quenton Jackson,8,268.35,2916816a-1e08-43ef-953d-a81bfe3503ee
Liam McNeeley,63,266.73,ba22d012-f7ce-4a1a-873e-d6c3ccf7ae5a
Isaiah Stevens,63,263.12,27b14c86-8f8d-4cd8-a8ec-bb051cd871bc
